50k mean,200k mean,50k var,200k var,kernel_size,epochs_choice,learning_rate,activation_fn,Name,A,B,C,D,combo
0.1381865998901426,0.1153747673306613,0.0001746793548549,3.349897427204787e-05,3,15,0.001,Sigmoid,3DCNN_50000_3_Sigmoid_15_0.001_4,1,2,1,3,1213
0.1268607660947988,0.1074758834340919,6.043366179553849e-06,1.9358496230946566e-06,5,30,0.0001,Sigmoid,3DCNN_50000_5_Sigmoid_30_0.0001_4,2,2,2,6,2226
0.1269063540767877,0.1053301412223527,1.5280602784299783e-05,2.2845587848195383e-05,5,25,0.001,Sigmoid,3DCNN_50000_5_Sigmoid_25_0.001_4,2,2,1,5,2215
0.156139354614665,0.1348426759955783,8.702028689306116e-05,2.4429522315253663e-05,3,5,0.0001,Sigmoid,3DCNN_50000_3_Sigmoid_5_0.0001_4,1,2,2,1,1221
0.1304734900304426,0.1126581299640238,2.651117769920486e-05,9.9168373180178e-06,5,15,1e-05,ReLU,3DCNN_50000_5_ReLU_15_1e-05_4,2,1,3,3,2133
0.1204954196744908,0.1101229204505681,1.0604374059301602e-05,8.290493319271981e-07,3,25,0.001,ReLU,3DCNN_50000_3_ReLU_25_0.001_4,1,1,1,5,1115
0.1302562244447568,0.1124001373534401,3.336045684643697e-06,1.2408840826253834e-06,5,20,1e-05,ReLU,3DCNN_50000_5_ReLU_20_1e-05_4,2,1,3,4,2134
0.1511284221341212,0.1171343995133414,1.0162987553231016e-05,1.7210816293107873e-06,5,25,1e-05,Sigmoid,3DCNN_50000_5_Sigmoid_25_1e-05_4,2,2,3,5,2235
0.1401710084038475,0.1214852426255742,2.6927822881986453e-05,6.01883596359154e-06,3,15,0.0001,Sigmoid,3DCNN_50000_3_Sigmoid_15_0.0001_4,1,2,2,3,1223
0.2454707104921341,0.1677978940360248,1.391107495287681e-06,2.9755980833973213e-05,3,5,1e-05,Sigmoid,3DCNN_50000_3_Sigmoid_5_1e-05_4,1,2,3,1,1231
0.1359230184018611,0.1132520345311611,2.869973471185041e-05,1.0508399392811409e-05,5,5,0.001,ReLU,3DCNN_50000_5_ReLU_5_0.001_4,2,1,1,1,2111
0.1482423790503293,0.1221181909081836,8.806204722207183e-05,1.2903576397952135e-06,3,25,1e-05,ReLU,3DCNN_50000_3_ReLU_25_1e-05_4,1,1,3,5,1135
0.153925849148631,0.1292562236158797,5.527816501640694e-06,8.212805086698159e-07,3,15,1e-05,ReLU,3DCNN_50000_3_ReLU_15_1e-05_4,1,1,3,3,1133
0.1268578773148357,0.1076714054882526,1.5904019866492317e-05,8.623095989951764e-07,3,30,0.0001,ReLU,3DCNN_50000_3_ReLU_30_0.0001_4,1,1,2,6,1126
0.1406541738152503,0.1234162656464924,7.147449041654483e-06,2.7776331993391294e-05,3,30,1e-05,ReLU,3DCNN_50000_3_ReLU_30_1e-05_4,1,1,3,6,1136
0.1134046922627836,0.0964527985042581,6.779963529738977e-07,1.2277669425936075e-06,5,25,0.0001,ReLU,3DCNN_50000_5_ReLU_25_0.0001_4,2,1,2,5,2125
0.12294311189875,0.1051297191570202,4.543113047397479e-06,1.1464569970679898e-06,5,10,0.0001,ReLU,3DCNN_50000_5_ReLU_10_0.0001_4,2,1,2,2,2122
0.1279404435768723,0.1116984432189414,3.645442870578574e-06,1.8501531530472605e-05,5,15,0.001,Sigmoid,3DCNN_50000_5_Sigmoid_15_0.001_4,2,2,1,3,2213
0.1413184076331555,0.118174990062788,3.890064079230156e-05,5.411699574527252e-05,5,30,1e-05,Sigmoid,3DCNN_50000_5_Sigmoid_30_1e-05_4,2,2,3,6,2236
0.1610417271727074,0.1367096956683322,0.0001914873790236,0.0002225719827346,5,5,0.0001,Sigmoid,3DCNN_50000_5_Sigmoid_5_0.0001_4,2,2,2,1,2221
0.1186651980525503,0.1039452914220591,5.578672229572332e-06,1.0984170874401277e-05,5,15,0.0001,ReLU,3DCNN_50000_5_ReLU_15_0.0001_4,2,1,2,3,2123
0.1313918163515627,0.1114213938690721,3.5454495163345785e-06,8.888564735918762e-06,5,20,0.0001,Sigmoid,3DCNN_50000_5_Sigmoid_20_0.0001_4,2,2,2,4,2224
0.2371902977297703,0.1518101741686463,5.445872215901211e-05,4.508350143437411e-05,3,10,1e-05,Sigmoid,3DCNN_50000_3_Sigmoid_10_1e-05_4,1,2,3,2,1232
0.1484703595104316,0.1289206432377298,7.958416919508849e-06,1.3048344232105409e-05,5,5,1e-05,ReLU,3DCNN_50000_5_ReLU_5_1e-05_4,2,1,3,1,2131
0.1349955667503177,0.1195034657806157,3.4090412531046627e-06,3.162663938920119e-07,3,10,0.001,Sigmoid,3DCNN_50000_3_Sigmoid_10_0.001_4,1,2,1,2,1212
0.1355536172011245,0.1187136699207747,9.614888069195093e-06,1.1945829306571384e-05,3,10,0.0001,ReLU,3DCNN_50000_3_ReLU_10_0.0001_4,1,1,2,2,1122
0.1336219128418713,0.1159953239360203,2.764452855481162e-06,8.227798379409566e-06,3,25,0.0001,Sigmoid,3DCNN_50000_3_Sigmoid_25_0.0001_4,1,2,2,5,1225
0.192653305239727,0.1357534093977262,4.695434122564397e-06,3.7276301721035056e-06,3,20,1e-05,Sigmoid,3DCNN_50000_3_Sigmoid_20_1e-05_4,1,2,3,4,1234
0.1324202868877599,0.117657163824141,5.417766154458792e-06,7.884878215469433e-07,3,5,0.001,ReLU,3DCNN_50000_3_ReLU_5_0.001_4,1,1,1,1,1111
0.1271964066604772,0.1121938308505961,1.6344143085992582e-06,4.6042304983571305e-06,3,20,0.0001,ReLU,3DCNN_50000_3_ReLU_20_0.0001_4,1,1,2,4,1124
0.1306529286349813,0.1134003790107865,3.4356889897927404e-06,3.429629574215124e-05,3,20,0.001,ReLU,3DCNN_50000_3_ReLU_20_0.001_4,1,1,1,4,1114
0.1239153356835246,0.1124845352462182,4.706775324958532e-06,3.836687476443651e-05,3,30,0.001,Sigmoid,3DCNN_50000_3_Sigmoid_30_0.001_4,1,2,1,6,1216
0.1254425429094582,0.1042520943075418,7.708743977509539e-07,3.461641981387947e-06,5,20,0.001,Sigmoid,3DCNN_50000_5_Sigmoid_20_0.001_4,2,2,1,4,2214
0.1343048246591041,0.1049450256546337,2.621639146135831e-05,9.432866748054889e-06,5,10,0.001,ReLU,3DCNN_50000_5_ReLU_10_0.001_4,2,1,1,2,2112
0.1149687369967499,0.1020722029035289,4.58975020736021e-06,0.0001369064400446,5,30,0.001,ReLU,3DCNN_50000_5_ReLU_30_0.001_4,2,1,1,6,2116
0.1698824934052924,0.1369083099609861,2.5276603204106145e-06,3.015985811802311e-05,5,10,1e-05,Sigmoid,3DCNN_50000_5_Sigmoid_10_1e-05_4,2,2,3,2,2232
